fileName,normalizedRatio,date,speed,iso,aperture,focalLength,widthFull,heightFull,fileSizeFull,width2k,height2k,fileSize2k,width3k,height3k,fileSize3k,width4k,height4k,fileSize4k,widthRaw,heightRaw,fileSizeRaw,place,themes,title,details
D5600_001756,vertical,2019-10-17T12:27:06+08:00,1/1600 s,400,5.6,21.0,3969,5944,"9,11 Mio",1282,1920,"886,11 kio",2003,3000,"2,91 Mio",2564,3840,"4,45 Mio",6016,4016,"27,58 Mio",seoul,ville;moderne,"Vue sur Myeongdong, Séoul",
D5600_001762,vertical,2019-10-17T12:42:37+08:00,1/500 s,200,13.0,25.0,4016,6016,"4,93 Mio",1282,1920,"517,85 kio",2003,3000,"1,63 Mio",2563,3840,"2,43 Mio",6016,4016,"24,46 Mio",seoul,ville;quotidien;curiosite,Lignes électriques,Le système de distribution électrique coréen crée parfois des enchevêtrements impressionnants.
D5600_001763,vertical,2019-10-17T12:43:15+08:00,1/160 s,200,13.0,18.0,4016,6016,"7,08 Mio",1282,1920,"671,21 kio",2003,3000,"2,18 Mio",2563,3840,"3,33 Mio",6016,4016,"25,20 Mio",seoul,ville;quotidien,Une ruelle comme tant d’autres,
D5600_001764,standard,2019-10-17T12:43:35+08:00,1/30 s,200,13.0,52.0,6016,4016,"6,55 Mio",1920,1282,"690,84 kio",3000,2003,"2,12 Mio",3840,2563,"3,17 Mio",6016,4016,"25,67 Mio",seoul,quotidien;curiosite,Batterie de compteurs de gaz,Au moins les relevés sont faciles !
D5600_001768,standard,2019-10-17T14:17:36+08:00,1/400 s,200,10.0,52.0,5819,3879,"6,26 Mio",1920,1280,"746,45 kio",3000,2000,"2,20 Mio",3840,2560,"3,26 Mio",6016,4016,"26,48 Mio",seoul,ville;moderne,"C’est à quel étage, déja ?",
D5600_001775,standard,2019-10-17T14:28:00+08:00,1/200 s,200,11.0,18.0,6016,4016,"6,72 Mio",1920,1282,"686,94 kio",3000,2003,"2,17 Mio",3840,2563,"3,25 Mio",6016,4016,"25,71 Mio",seoul,ville;quotidien,Je suis de l’autre côté du carrefour.,À dans une demi-heure !
D5600_001776,standard,2019-10-17T15:50:46+08:00,1/160 s,200,11.0,48.0,6016,4016,"7,38 Mio",1920,1282,"735,03 kio",3000,2003,"2,34 Mio",3840,2563,"3,54 Mio",6016,4016,"26,61 Mio",nationalmuseum,parc;architecture,Pavillon au reflet,
D5600_001784,vertical,2019-10-17T17:03:51+08:00,1/30 s,400,6.3,18.0,4016,6016,"6,03 Mio",1282,1920,"542,07 kio",2003,3000,"1,82 Mio",2563,3840,"2,80 Mio",6016,4016,"25,45 Mio",nationalmuseum,temple;histoire;tresor,Pagode à dix niveaux,[Trésor National n°86](https://fr.wikipedia.org/wiki/Musée_national_de_Corée#Pagode_à_dix_niveaux)
D5600_001786,vertical,2019-10-17T17:05:46+08:00,1/40 s,800,5.6,28.0,4016,6016,"6,01 Mio",1282,1920,"475,98 kio",2003,3000,"1,76 Mio",2563,3840,"2,75 Mio",6016,4016,"27,11 Mio",nationalmuseum,histoire;sculpture,Stèle à la tortue,Les statues de tortues avec une stèle sur le dos sont courantes en Corée.
D5600_001787,standard,2019-10-17T17:10:21+08:00,1/25 s,3200,4.5,38.0,5614,3748,"5,43 Mio",1920,1282,"404,54 kio",3000,2003,"1,64 Mio",3840,2564,"2,65 Mio",6016,4016,"28,77 Mio",nationalmuseum,histoire;objet;dragon,Deux têtes de dragon,
